,content,score
132,kasih bintang 3 ajabarang kali tik tok nya erortiktok terkadang gangguanklo tiktok nya lancar gx ganggu saya kasih bintang lebih dri 5 hiiii,3
133,makasih beri aku aplikasi sanget baguskarena aplikasi tiktok jadi gk asa sepi lagibanyak teman tempat bagi cerita sangat menarikaku selalu kasih baik dengn bintang 5,5
134,terima kasih tiktok sangat sangat bantu,5
135,pertama aku heran ada 2 tik tok padahal aku udah download tiktok satu laginah aku coba download nyata ini itu apli musicaly udah beli sama tiktokmakasih banget aku skrng ngehapusin aib aib aku,5
136,aplikasi tidak langsung live padahal umur lampau lebih 20 tahun sampai sekarang ikut pun sudah lebih 1000 untuk aplikasi tiktok buka akun agar say buat live,2
137,aq suka sama aplikasi cuman bikin kesell kalo buka hari beranda jadi acak lebih di kondisi ya min,5
138,ak kecewa ama admin tiktok comenan orang jelek presiden lolos comen kait anis selalu hapusjadi admin it logo lihat bnget admin dukung anismaaf klau kata ku kurang sopan kecewa ja gtu,1
139,terimakasih aplikasi bagus banget bikin wawas tambah luas tiktok bisa ajar mana benar mana salah gantung fyp sih,5
140,dear tiktok suka sekali aplikasi ada 1 kurang fitur nama kategori vidio save guna lebih mudah mensave vidio manfaat terima kasih harap ulas baca fitur siap di luncur,4
141,suka banget sama app karna hibur saat mood kumatt tp knpa kalau klik lagu nya suka error yaaah,5
142,apknya sangat bosan knp buka apknya selalu bisa selalu terang ada koneksi internet padahal jaring saya stabil,1
143,bantu tiktok bisa buka lupa kata sandi imel aktip,5
144,keren abis mantap dah,5
145,kurang suka sama admin nya knpa kata2 kasar mnjatuhkan presiden sllu lolos,1
146,puas postingan selalu hapus,1
147,tiap komen selalu hapus,1
148,byisa nambah wawas and hot hotyess,3
149,aku sangat suka aplikasi,5
150,moga lebih baik selalu bgus,5
151,apk sangat indah,5
152,kok g fitur posting ulang sama tiktok shop,3
153,tolong tambahin fitur upload hd tiktokjangan cuma amerika iphone itu di phone nlbelum please konten kreator sangat membutuhkankarna capek editing tidak hd,2
154,tik tok netral,1
155,cba pihak mu profesional dikitjangan main bend akun org seenk mu aj mentang akun sebut tdk untung pihak,1
156,efek bisa d guna,1
157,sekarang udah komen foto,5
158,susah banget mau top up coin nya lainkali dong d permudahh proses top up nya biar pun betah pake aplikasi,1
159,bagus sih kalo mau coba filter baru update itu butuh waktu,5
160,bisa downloadpadahal pakai wifi ruang simpan banyak ruang,1
161,asalammualaikum nama syaila fairuzasaya suka banget aplikasi aplikasi hibur saat sendiri banyak video bisa palajari moga aplikasi jadi aplikasi paling suka dunia temanteman,5
162,manfaat di guna baik untuk sebar dakwah tausiah hal hal yang beri energi positif seluruh guna tik tok utama ummat muslim dunia thanks,5
163,sayang sekali ko lagu2 nya gk muncul,3
164,sangat suka aplikasi tapi masih video harus nya boleh tayang kan soal nya kan aplikasi masih anak kecil masih nonton aplikasi nanti bisa jadi conto buruk,1
165,aplikasi sangat bagus guna baik tiktok jadi aplikasi baik saling komunikasi karya sesuai minat bakat masing2 guna tiktok,5
166,belakang aplikasi suka ngelekjadi kasih bintang 2 dulu samapai aplikasi jalan normal di belakanagn,2
167,gatau kalo nonton live mau live suka lelet padahal kuota bnyk,1
168,hibur banget sya lama kerja luar,5
169,sangat lama bisa menginstal nya jadi tidak suka aplikasi,2
170,tiktok makin lama makin susah di oprasikan,1
171,ngleg fulllllll 24 jam gimna nih tiktok makin depan makin kurang bagus,1
172,live streaming sinyal nya putus putus,2
173,ngk bukak live selalu ngeleg padahal kuota banyak,1
174,harihari di live engga kirim korun gody bag awal aman dn normal sekarang ko susah dong baik lgi biar normal biasa,5
175,sangat hibur sayang aku mula bom live kaya orang2 tiktok,5
176,kurang koneksi smoga tingkat,3
177,cocok buat foto komen ada ngemis like follower share jangan bawa nama agama,5
178,banyak konten hancur moral generasi muda tidak pantas tayang,1
179,admin gimana supaya download aplikasi tik tok smua y tdk alas jaringanmenunggu jrngan wifi makasih,5
180,seru siihh jdi kreatif bikin koreo2 baru bisa kasih challenge temen2 makasih sdh d ikan tempat explore add yaa hyangrestus,5
181,aga kecewa aja si filter facelift hilang soal filter banyak rubah bentuk asli natural banget hasil akhirnyakalo laen kan menor terus hidung mancung banget cocok,4
182,apk tidak guna tolong isi ulang koin nya keranjan kuning nya tidak tambah peti tidak pokok baik dulu deh baru tambah bintang,2
183,tik tok bagus makasih pokok kalo tidak dowload bakal nyesel bangettt belum dowload dowload aplikasi tik tok yah,5
184,apk lain kalo user sdh rame server sering down aplikasi force close jauh saya msh suka apk keluar dr facebook saudara2nya,1
185,sedikit batas guna android salah satu fitur hilang tidak ada mic fitur duet,3
186,aku bingung knp klu komen kubu 01 03 sllu hapus sdng kan klu kubu 01 03 wlupun komenanti nya gk adab gk kena langgar smg adminnya sllu profisional,1
187,ga seru soal gabisa namatin kayak gamegame belah ada history gabisa jalanjalan kayak gta cuma video tidak jelas baik yah,1
188,aplikasi bagus bangetkarna bole edit video trus video bagus bagnet,5
189,lama bayak ter ganggu nyaman masalah pakai mati jadi aku gaya an palsu nya,5
190,akun tidak live sekarang mau bikin vidio tidak bagus masa bikin vidio baru mulai musik habis padahal baru 5 detik musik habistolong timbang ya terima kasih,1
191,yaa akuu mau daftar akun terus waktu masukkin tanggal bulan tahun lahir muncul tulis maaf seperti tidak penuh syarat tiktok terimakasih tarik cara nya gimana yaa,5
192,maaf gw kasi 4bintang aja lot trus padahal jaring bagus bangat mohon selesai kendal,4
193,app sangat bagus sangat bantu,5
194,sya download check out tiktok shop nya selalu muncul coba terlalu banyak yah dong baik yahh kalau udah bisa aku kasik bintang 5,1
195,ni aplikasi suka hapus sendiri lalu kalo mau download kata maaf dapat menginstal knp y,3
196,suka banget sama tiktok tolong lah ditambahin filter bisa bikin hd sama tambah keranjang kuning nya soal suka belanja,4
197,seing gk di buka,5
198,kembali versi lama gk suka versi baru harus jadi tiktoktolong balikin musically dulu,1
199,tiktok nya jelek baik aku baru menginstal pas tanda buka aku pencet bisa di baik,2
200,aplikasi sampahsuruh masukkin tanggal lahir salah betulmalah salahaplikasi guna mending hapus aja playstore moga app hapus playstore amin,2
201,kalo buka komenanti pin komenanti nya kok gaada malah pin nya random bukan kasih paling atas baik supaya bisa nyaman mainin tiktok nya,4
202,aplikasi bagus menhibur mau updatenya susah sekali coba harap kan ulang ber ulang gituh gin gin nia gue mau update efek dalam bagus semua dia coba sesal tapi update lama dah selalu harap coba,3
203,aplikasi sangat guna sekalitapi baru download buka 5 menit chace 500mb ntah tolong baik,5
204,mohon tingkat kan soal epek buat jadi komal sekarang ad guna ad tidak bisa tidak dulu,5
205,mudahmudahan tiktok bantu,5
206,hey jangan iklan tik tok jadi kuota habis garagara iklan iklan tidak guna saya sikap lah biasa jangan ada iklan kalau becus bikin apk,1
207,senang serasa punya teman hibur,3
208,udah update filter tiktokeh besok mau buat update tolong la baik filter nya ko buat update sih,1
209,min tiap bukak tik tok mulu video nya knapa ya kak padahal jaring bagus hp bagus tempat bagus kenapa itu min,4
210,sih tik tok udah error njir gw nge login akun gw trus tulis frekuasi kunjung terlalu sering padahal udah tungguin 5 jam lebih masih muncul tulis,1
211,aplikasi tiktok tdk di buka dihpku susah banget kenapa ni moga cepat baik tetima kasih padahal biasa sy suka ngasih 5 bintang klu sudh bagus sy kasih bintang 5,1
212,kecewa aku akun titkok ku gabisaaa dibukak padahal akun ku uda lama follower nya uda banyak kian biasa login nya fb eh masuk fb smaa akun nya beda video follower nya tidak lagi,1
213,kecewa bangettkenapa baru musically jadi ubah campur tik toktolong kembali dulu gk suka dicampur2,1
214,sedikit kecewa kurang bintangkarna saat live selalu henti tiba tiba tampa sebabpadahal jaring lancar sekali,3
215,pihak tiktok baik aplikasi lebih baik mau simpan video bisa,3
216,bagai mana bisa kasih bintang full download ibu kali susah padhl wifi penuh aplikasi banyak saya buang mendownload tiktok masih tetap bisa gimna sih aplikasi sngt kesal kn,1
217,mau guna lagu susah sekali terdownload lamaa tingkat,1
218,terima kasih tiktokdgn nya tiktok jd bnyk informasi temandn hibur bngtdgn musik nya mantul sx terima kasih banyak sehat sukses selalu,5
219,hello slm mencihello asalamualaikumtiktok berhinti tolok bukak minta bantu anyantai tiktok,5
220,aku senang main tiktok lah hibur tidak bosan selalu pers baru filter trgs nambah alam,5
221,sebal main hapus postingan tampa lihat apa betul langgar situ kalo kaya gitu terus carakerjanya mending uninstalle ja,1
222,tiktok aplikasi cman ngabisin kuota imbal nonton vidio receh jd skrang tiktok aplikasi gk lama lama gk orang bagi nonton vidio,1
223,bagus tp gimana cara nya tiktok an hasil uwang,3
224,tiktokan buat diri tetap happy hibur diri meski kerja berat jadi ringanthanks for your tiktok the best aplikasi,5
225,stiap bikin vidio likecoment punapa sus hp iphone aj yang terlihattrus android tidak lihat id tiktok,3
226,aplikasi manfaat terus tahan sering2 kasih voucher free ongkir tiktok shop biar makin laris dagang,5
227,dar buat hibur kenal guna tiktokapabila suka postingan amin aja ambil baik sajayg sekira manfaat buat diri pribadi buat orang,5
228,tiktok kalo pake lama 1bulan ko tidak bisa buka tiktok lagi sih dih baik,2
229,di baik masa ingin instal selalu masalah kecewa,1
230,aplikasi sangat penting anak lakilaki perempuan sedang kembang pesat bentuk sedang kembang kami ucap banyak terimakasih atas informasi sangat bantu proses bangun tepat,5
231,app bagus cuman efek bisa pakai cuman muncul jomm wajah doang,1
232,pihak tiktok hormat akun tidak laku live streaming padahal capai 1000 follower usia sudah atas 18 tahun mohon sangat bantuanya di muncul fitur live streamingnya terima kasih,5
233,kasi bintang 1 aja karna id tiktok selalu blokir padahal video2 upload sopan semua sekarang saya download bisa lelet,1
234,luar biasa mantap,5
235,tiktok khusus pke wifi bukan sch knpa yang pake data bisa buka tiktoksaya d luar negri,1
236,aplikasi ny jelek banget dehh jangan download yhhgak bagus percaya dehhh sama minum nyah boong pak nya bagussssssssbanget minim kasih bintang5 apk karna serubagus buat yang fakk modd instal mood nya kembali ceruahhh percaya dehhhhhsama minum yhasalamualikum teman,5
237,sangat bagus gk ter istal,5
238,pliss balikin musically saya lebih suka apk musically banding kan tiktok sekarang apk tiktok suka error sendiri yaa balikin apk musically min,3
239,u k bat bk yl ao dwld kok dulu aku download udah daftar akun trus aku hapus lah sekar tidak bisa download please baik,3
240,hibur paling asik,5
241,aplikasi bantu banget pokok the best deh buat tik tok ayosegera download aplikasi tiktok,5
242,masuk tiktok d sulit sih selalu keluar ada sinyal padahal ful xue,1
243,bagus sih penggunaanya kalau akun dulu bisa masuk dan cari tidak,5
244,neng banget tik tok mah best forever ngehibur kalau bosan terus bisa bikin vidio tik tok jadi aku neng banget makasih yang bikin aplikasi iniii aku suka banget tik tok,5
245,aku kasi bintang satu karna aplikasi di buka lambat trus kadang2 bilangnnya jaring stabil padahal jaring bagus loh gimana sih,1
246,gua beri bintang 3 aja soal mb tik tok terlalu besar kecil kan kasihan hp nya samsungdll kalo mb kecil gua kasi bintang full,3
247,tambah translate tiktokthanks,5
248,gak buat komen foto,5
249,tiktok adil up video orang aja udah cape buat video udah di ulang boro ngelike coba yang cuma nyengir doang langsung banyak likenya,3
250,suka banget sama aplikasi tapi efek aku deh ko efek tiktok gabisa dipake 2022 keluarang efek baru,5
251,pake app tik tok baik aman untuk nonton semua video app tik tok,1
252,sekarang tiktok lag terus liat live lag terus ya jadi bikin esmosi,3
253,bagusss baik2nya jangan pilih2 kasih buat fyp trus mohon siar langsung buka smua guna tiktok karna butuh buat jual terima kasih,5
254,susah sekali masuk undang baruselalu tipu eror jaringanpadahal aplikasi bagus undang teman bisa,3
255,assalamualaikum dear tiktok salut tiktok sdh apk ny baguss tambah tani ku kala lock down terimakasih,5
256,aplikasi jelek bangeeeeeeeeeeeeeeeeet bohon aplikasi bagus banget terimakasih tik tok,5
257,plis bngt pihak tiktok kok akun lma ku g bsa msuk tulis nyfrekuensi terlalu sering kunjung pdhl udah 5 download hpus msh g bsa data udah hps ttap aj kok briq bet y,1
258,relepantidak didik kandung forno graf,1
259,aplikasi nya knpa luar negri bsa pakai pdhal sinyal internet bagusada tau ya,5
260,mula blom bnyk tau aplikasi tpi sangat suka dengan aplikasi saya hibur diri sendiri moga aplikasi makin melejittt,5
261,kembali musically versi belum karna kalau musically sama tiktok gabung memori bakal penuh sekali kami minta untuk kembali musically versi lama,1
262,level kecil bisa bikin live aplikasi nya di kembangin maka akan kurang satu satu bintang nya,5
263,skarang tik tok sya guna pvn nonton live,1
264,sllu ngleg padahal koneksi internet bagus,5
265,akun terus2 an tangguh padahal akun baru gabisa login login ingat akun blok lama pdhl tidak ngapa2 in post vid aja gapernah kasih solusi,1
266,tolong mudah simpan video karna saya simpan video bagi dulu lalu instagram,3
267,apk tiktok nya pervaikin lgi dong kerja luar negrijdi cuman hibur kya liat video d tiktok kalo tiktok nya masa gk ke buka terus msa sya unistal terus sih di baik lgi dong apk nya adminterima kasih,5
268,tiktok tuh sensitif bgtt masaa iya komen dkit lgsg hapus otomatis komennya kn mmbela kbnran sdgkan video nya nganiaya lah ngehina agama lah gilir kya gitu ngga dibanned anehh bgtt di banned mlh gasalah apaa anehh emg tiktok,1
269,aplikasi sangat bagus kurang aplikasi adalah even muncul halaman harap developer erti dan baik nya,5
270,apk nya bagus bangettapi buka blokir nya saya sangat butuh akun yanh nama itsyourbeby sekali saya mohon maaf saya buat salah di tiktok,5
